survey_id,variable,category,frequency,share,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4,<MISSING>,70844508.0,0.5407906581503512,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4_2,1.0,747406.0,0.0057053142728512056,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4_2,2.0,454351.0,0.003468282627091859,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4_2,3.0,1284211.0,0.009803008468827543,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4_2,4.0,632761.0,0.0048301731115399146,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4_2,<MISSING>,127882994.0,0.9761932215196895,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,1,130974.0,0.0009997883768292117,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,10,42862454.0,0.32719000192081443,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,11,42352083.0,0.32329409133038656,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,12,41426529.0,0.3162288865467823,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,9,4229683.0,0.03228723182518752,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,literacy,0.0,7366831.0,0.05623461150965167,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,literacy,1.0,116797927.0,0.891575502407705,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,literacy,<MISSING>,6836965.0,0.052189886082643355,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,lpt,1851.06,27968641.0,0.21349826826323498,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,lpt,2459.96,103033082.0,0.786501731736765,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,lstatus,1.0,60188784.0,0.4594503234129218,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,lstatus,2.0,1704909.0,0.013014401344934982,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,lstatus,3.0,48307662.0,0.36875592850026867,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,lstatus,<MISSING>,20800368.0,0.15877934674187452,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,male,0,68344888.0,0.5217098404117937,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,male,1,62656835.0,0.4782901595882063,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,marital,1.0,37572006.0,0.28680543384914103,yes
