survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p01,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p05,2.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p10,4.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p25,8.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p50,16.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p75,24.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p90,29.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p95,31.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p99,32.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,mean_w,16.3963141156548,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,sd_w,7.950308010730386,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p01_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p05_w,4.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p10_w,7.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p25_w,11.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p50_w,15.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p75_w,22.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p90_w,29.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p95_w,30.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,p99_w,32.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,mean,43.96449881033769,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,sd,32.665084379214434,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,max,86.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,min,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,skewness,0.21424763293449092,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,kurtosis,-1.6127113391242425,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p01,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p05,2.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid2,p10,4.0,no
